"Index" "AAPL" "ACN" "ADBE" "AMD" "AMZN" "CTSH" "FB" "GOOGL" "IBM" "INTC" "NFLX" "NVDA" "TWTR" "SPY"
2017-05-30 136.998919717175 110.775975118589 127.459056654435 9.95256421730959 892.061229750291 59.3827190548644 136.382354783854 891.586845967959 134.380780452877 32.1403624809809 146.084311286136 129.546723350935 16.4951221695158 215.097125212566
2017-05-31 135.605079761162 110.92594332056 126.423670795829 9.97237322876749 886.391582746636 59.5021994474646 134.979063363337 879.680979413599 134.599626592995 31.9409589163176 145.325734782996 128.529562427591 16.3265306122449 214.123795561893
2017-06-01 136.002149032891 111.676620910955 126.018366164542 9.74240128353686 887.735102950352 59.9397370532133 135.06551296907 880.907369640788 134.658888492736 31.9554969248596 145.2803324717 128.561384258847 16.5166244763348 215.865037882164
2017-06-02 138.042198448783 112.097707051796 127.912985646786 9.71739324239993 897.503771061781 60.0215966836052 136.943925291968 888.044927342427 134.135951680485 32.1381697423554 147.258619060355 127.942980297762 16.3234367477935 216.62213247749
2017-06-05 136.30356565028 112.525559605298 127.646898390968 9.99199928882567 899.048828340297 59.930688061161 136.572144190595 892.417108187394 134.071067650458 32.0643941683705 146.733041159214 131.460388478976 16.2058849675527 215.846687705574
2017-06-06 136.654695327767 112.213538816841 127.047432048321 10.6857345887369 890.92201101439 59.7498285663528 135.734586960384 885.308219044235 133.928714691775 31.8536169834784 146.713446438088 130.760692840647 15.6066796944395 214.984654467934
2017-06-07 137.971162521173 112.819829722742 128.037795310689 11.0368191138451 900.481418382812 59.5678942676295 136.507082999019 892.841223143443 133.19200677543 32.0850762235892 147.641972898279 132.824119639832 15.5478300793439 216.169687973612
2017-06-08 137.486635497373 112.360849585894 127.019329414908 11.4881111407962 899.697230385609 59.4242595066346 137.777190310802 894.362836405735 134.036673791077 32.245249799626 147.724646005878 142.309480808621 15.6647965090391 216.045007569686
2017-06-09 132.782074982105 112.580529706514 123.523624731568 10.9878310665712 875.366855762348 59.206061202577 133.858273085183 868.038649785254 136.443160343593 31.7143235504653 141.401215998568 133.740527916965 15.1216893342878 216.740108267717
2017-06-12 129.0893556724 112.556815791819 122.315301666518 10.7744407806791 859.914422065769 58.9508377149987 132.287676677658 857.151767222173 136.84838338829 31.6048293378487 134.96123518403 133.533619107031 15.185813207379 215.826562694947
2017-06-13 130.174365694927 113.283409111171 123.99928323081 10.6623874476241 874.378156369796 59.0964045645003 134.331811536061 865.204600160471 136.076757600071 31.748830346795 136.150486761166 134.854965677097 15.1288214317554 216.959276098779
2017-06-14 129.065602070874 113.585646701776 123.404445237883 10.5061144336338 871.614720164242 59.2058859234134 134.115861822726 863.991781665625 135.858153173257 31.4784164955815 135.856464339909 135.308888690529 14.9602784968312 216.955028117469
2017-06-15 128.717164606842 113.765 123.159595199713 10.2991223356618 863.487357155651 59.3305749596991 134.157265806914 859.914018448863 136.671686369335 31.3871655024181 135.912587318646 136.338851871754 15.0725416442773 217.255065377037
2017-06-16 126.90382466195 114.229424196293 123.435117757679 10.244470314319 884.490034924331 59.503982269186 134.897464851795 858.440042088296 137.687376197725 31.2954732694546 136.455632667682 135.655608489299 14.9279125996239 217.283065281633
2017-06-19 130.161244753996 114.090541119743 125.323694972765 10.6527368515046 888.623969104384 60.0556933654791 136.503254754889 870.809867845343 136.816796142513 31.471934101259 136.976510402715 140.353268148942 15.2335020984016 218.465938030181
2017-06-20 129.475406955898 113.418787199713 126.308716385801 11.3302258874148 889.736488884905 60.1708927931158 136.473646468268 868.581920043026 137.441709394048 31.0149354607386 136.294373431337 140.688251165292 15.1577626389387 217.828966475439
2017-06-21 130.348441733202 114.030681797793 129.398048802368 12.5414909841213 899.102879698574 60.7924006459137 138.073027720463 877.89542208666 136.522919171077 30.7906611644389 139.077777877456 142.935074010945 15.9504808468646 217.951015519871
2017-06-22 129.87766496553 109.302535589578 128.650731488943 12.874921658161 896.499228220969 59.9668493150685 137.34443011908 874.402359208524 136.794449816456 30.5345053272451 138.678484197332 141.669515623601 16.2503357507386 217.42322141642
2017-06-23 130.410640830574 109.854110802828 130.144100957666 12.6823592589278 898.362114024882 60.1775816700976 138.789946299114 882.565136489752 136.488645842656 30.3725525821176 141.430237178913 137.559014588741 16.5577732032579 217.604944956592
2017-06-26 129.837864485564 109.359073925092 129.578981853938 12.5860373647984 888.513435237329 60.1736354697417 137.29328327523 868.946122284795 137.308518816483 30.2280745508179 140.788415124698 135.886438723518 16.3493349423438 217.475635112184
2017-06-27 126.944303954602 108.343679730449 126.387651179287 11.8815392800142 866.093304663948 58.8652438375599 133.516582727434 840.654395282852 135.77945114382 29.6145424720695 133.915586983508 129.855528462493 16.0666793757758 213.982977478276
2017-06-28 127.700718241758 108.782415824176 126.426371868132 11.6307692307692 870.619795164835 58.8018997802198 134.716487912088 844.843964835165 135.117469010989 29.8419156043956 134.865937582418 133.289244835165 15.7802206593407 214.057147252747
2017-06-29 125.39907649172 107.763075440287 123.753618680452 11.0400420573031 855.103822833611 57.8279628493823 132.340307544029 821.712088846053 133.63581442215 29.1685796898274 131.507926049242 128.40704810304 15.464820818365 211.469382283361
2017-06-30 125.706843673326 108.377146862951 123.939714335787 10.9358569926393 848.229933403435 58.0603811777077 132.299330529267 814.651238170347 133.387394847529 29.3450832457063 130.923592709429 126.562242376446 15.6589563617245 211.882231861199
2017-07-03 125.72670419562 109.006948720204 121.743340663207 10.6869557568828 838.82485091037 58.5432852493623 130.556771044067 808.743092620283 135.415076084088 29.2116219544375 128.568913712728 122.444755915208 15.5246723546486 213.044249274342
2017-07-05 126.689352105217 109.497751787448 124.644723276547 11.6426869097008 857.445515049872 58.9173439844647 132.703677288375 822.896998852502 134.22486892047 30.0857419013152 130.293936799364 126.157793273899 15.7295436490423 214.29076176185
2017-07-06 124.876321475626 107.984191480018 123.627580149319 11.4361001317523 847.729481774264 58.1016556873079 130.715860342556 814.835311374616 132.426050944225 29.3187782169521 128.458498023715 125.914615722442 15.740008783487 211.286783487044
2017-07-07 125.846488783736 108.841569400631 124.623204521556 11.7069751139152 857.658613739923 58.5500411847178 132.702420259376 824.404134244655 132.615657202944 29.4668445495969 131.598311426569 128.488349982475 15.7903960743077 212.153873992289
2017-07-10 126.892582769825 108.948799508211 125.88038640555 12.1278651093352 875.094380433828 58.9590120312637 134.80284534996 835.162905067182 133.323947483973 29.331062615263 134.073942214806 134.859742689031 15.8777553350312 212.847980152806
2017-07-11 127.102796142043 108.592720736519 125.322220955721 12.1788689171416 871.661556334941 59.1459359929855 136.142046470846 836.063155633494 132.91396668128 29.5197395879 135.31784480491 136.55667601929 16.343708022797 212.354232354231
